ID,Country,Use,Typology,From (year),To (year),Energy class,Construction type,Gross floor area (m2),Net floor (heated) area (m2),Net cooled area (m2),Volume (m3),Number of storeys,Number of dwellings or units,Average number of habitants (per dwelling),Number of buildings in stock (31.12.2022),Number of refurbished buildings (light),Number of refurbished buildings (medium),Number of refurbished buildings (deep),"Number of protected buildings (""Denkmalschutz"")",Share of occupied dwellings or units,Share of vacant dwellings or units,Share of secondary dwellings or units,Space heating demand Existing state (kWh/m2a),Space heating demand Light refurbishment (kWh/m2a),Space heating demand Medium refurbishment (kWh/m2a),Space heating demand Deep refurbishment (kWh/m2a),Space cooling demand (kWh/m2a),Energy demand for domestic hot water (kWh/m2GFAa),Final energy consumption space heating - Existing state (kWh/m2a),Final energy consumption space heating - Light refurbishment (kWh/m2a),Final energy consumption space heating - Medium refurbishment (kWh/m2a),Final energy consumption space heating - Deep refurbishment (kWh/m2a),Final energy consumption space cooling (kWh/m2Aa),Final energy consumption domestic hot water (kWh/m2NFAa),Electricity demand  (excl. heating) - B6.1 (kWh/m2NFAa),Electricity demand - B6.2 & B6.3 (kWh/m2NFAa),Energy demand - B8 (kWh/building),Water use per building per year (m3),Element type,Area (m2),ID component (as-built),U-value default (W/m2K),ID component (light refurbishment),U-value light (W/m2K),ID component (medium refurbishment),U-value medium (W/m2K),ID component (deep refurbishment),U-value deep (W/m2K),Energy carriers (current),ID component (current),Share (current),Comment,Energy carriers (exchange),ID component (exchange),Share (exchange)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,414.12,AWm_54_a,1.9,,,REN_01_a,0.22,REN_01_a,0.15,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",120.3300983,IWm_50_a,,,,,,,,,,,,heat pump,HEP_01_r,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",200.4389017,IWm_53_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,245.8,GDm_50_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attic floor,122.9,GDm_51_a,1.02,REN_03_a,0.21,REN_03_a,0.21,REN_03_a,0.11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,173.8068468,DAI_50_a,0.798479087,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,33.57,Win_50_k,1.4,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-16,Doo_03_r,,,,Doo_03_r,1-0,Doo_03_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,4-8-4-0-4-15-21-19-92-73-92-73,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,375-6224-1922-146,ELI_01_r,,,,,,,,,,,,,,
AT-MFH-1945-1960-11,AT,Residential,Multi-family house (MFH),1945,1960,Standard,Masonry,748,598.4,12.14796992,2356.2,3,3,5,4830,609,338,58,118,0.782608696,0.130434783,0.086956522,120,114,81.6,46.9,46.28,22,161,153,110,63,7.492361485,33,2.97,26.73,53828.01494,636,Foundation,249.3333333,Efo_60_a,2.44,,,,,,,electric direct heating,ELE_01_r,0.25,,district heating,DIH_01_r,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,212.2215295,EAm_60_a,2.98,,,,,,,"gas central heating, standard boiler",GAS_01_r,0.34,,pellets central heating,PEL_01_r,0.337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,249.3333333,KDo_61_a,0.92,,,REN_02_a,0.2,REN_02_a,0.2,"gas central heating, standard boiler",GAS_01_r,0.41,,"pellets central heating, with solar thermal",PEL_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,491.4,AWm_60_a,1.33,,,REN_01_a,0.21,REN_01_a,0.15,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",244.1196462,IWm_60_a,,,,,,,,,,,,heat pump,HEP_01_r,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",406.6403538,IWm_62_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,498.6666667,GDm_60_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attic floor,249.3333333,GDm_60_a,2.67,REN_03_a,0.17,REN_03_a,0.17,REN_03_a,0.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,287.9053342,DAI_60_a,0.798479087,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,38.42,Win_60_w,3,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-12,Doo_03_r,,,,Doo_03_r,1-0,Doo_03_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,3-6-3-0-3-31-43-39-187-148-187-148,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,760-12628-3900-296,ELI_01_r,,,,,,,,,,,,,,
AT-MFH-1961-1980-21,AT,Residential,Multi-family house (MFH),1961,1980,Standard,Concrete,618.8,495,11.08208955,2042,3,6,2,12437,1567,871,149,303,0.777777778,0.111111111,0.111111111,111,105.45,75.5,40.6,21.61,22,149,142,102,55,3.498920388,33,2.97,26.73,43062.41195,508.8,Foundation,206.2666667,Efo_70_a,2.44,,,,,,,district heating,DIH_01_r,0.63,,district heating,DIH_01_r,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,193.0251034,EAm_70_a,2.78,,,,,,,"oil central heating, standard boiler",OIL_01_r,0.19,,pellets central heating,PEL_01_r,0.337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,206.2666667,KDo_70_a,1,,,REN_02_a,0.18,REN_02_a,0.18,"gas central heating, standard boiler",GAS_01_r,0.18,,"pellets central heating, with solar thermal",PEL_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,573.8,AWm_70_a,0.75,,,REN_01_a,0.22,REN_01_a,0.15,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",201.9535255,IWm_70_a,,,,,,,,,,,,heat pump,HEP_01_r,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",336.4024745,IWm_72_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,412.5333333,GDm_70_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,206.27,DAI_72_a,0.48,REN_06_a,0.13,REN_06_a,0.13,REN_06_a,0.11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,84.7,Win_70_w,1.5,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-24,Doo_03_r,,,,Doo_03_r,1-0,Doo_03_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,6-12-6-0-6-26-35-32-155-123-155-123,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,629-10447-3226-245,ELI_01_r,,,,,,,,,,,,,,
AT-MFH-1981-1990-21,AT,Residential,Multi-family house (MFH),1981,1990,Standard,Concrete,737,589.6,12.1,2284.7,4,5,3,4488,565,314,54,109,0.777777778,0.111111111,0.111111111,93,88.35,71.9,35.8,26.72,22,125,119,97,49,4.32643494,33,2.97,26.73,53828.01494,636,Foundation,184.25,Efo_80_a,0.65,,,,,,,electric direct heating,ELE_01_r,0.21,,district heating,DIH_01_r,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,243.2437855,EAm_80_a,3.59,,,,,,,district heating,DIH_01_r,0.53,,pellets central heating,PEL_01_r,0.337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,184.25,KDo_80_a,0.6,,,REN_02_a,0.15,REN_02_a,0.15,"gas central heating, standard boiler",GAS_01_r,0.26,,"pellets central heating, with solar thermal",PEL_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,551.7,AWm_81_a,0.7,,,REN_01_a,0.23,REN_01_a,0.16,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",240.5296514,IWm_80_a,,,,,,,,,,,,heat pump,HEP_01_r,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",400.6603486,IWm_82_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,552.75,GDm_80_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,263.57,DAI_81_a,0.46,REN_07_a,0.16,REN_07_a,0.16,REN_07_a,0.08,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,82.26,Win_80_w,2.189569657,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-20,Doo_03_r,,,,Doo_03_r,1-0,Doo_03_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,5-10-5-0-5-31-42-38-184-146-184-146,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,749-12442-3843-292,ELI_01_r,,,,,,,,,,,,,,
AT-MFH-1991-2000-11,AT,Residential,Multi-family house (MFH),1991,2000,Standard,Masonry,617.5,494,10.6538025,1914.3,4,8,1,5478,690,383,66,0,0.785714286,0.142857143,0.071428571,81,76.95,72.5,61.8,20.49,22,109,104,98,84,3.317513294,33,2.97,26.73,28708.27464,339.2,Foundation,154.375,Efo_01_a,0.384615385,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.72,,district heating,DIH_01_r,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,222.6519436,EAm_02_a,0.384615385,,,,,,,district heating,DIH_01_r,0.14,,pellets central heating,PEL_01_r,0.337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,154.375,KDo_01_a,0.384615385,,,REN_02_a,0.13,REN_02_a,0.13,"gas central heating, standard boiler",GAS_01_r,0.14,,"pellets central heating, with solar thermal",PEL_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,553.36,AWm_05_a,0.35,,,REN_01_a,0.23,REN_01_a,0.16,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",201.5292534,IWm_02_a,,,,,,,,,,,,heat pump,HEP_01_r,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",335.6957466,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,463.125,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,205.8,DAm_03_a,0.4,REN_05_a,0.16,REN_05_a,0.16,REN_05_a,0.08,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,62.39,Win_01_p,1.4,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-32,Doo_03_r,,,,Doo_03_r,1-0,Doo_03_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,8-16-8-0-8-26-35-32-155-122-155-122,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,628-10425-3219-245,ELI_01_r,,,,,,,,,,,,,,
AT-MFH-2001-2009-21,AT,Residential,Multi-family house (MFH),2001,2009,Standard,Concrete,273.5,218.8,5.053117783,875.2,2,3,2,14389,0,0,0,0,0.75,0.125,0.125,79,0,0,0,25.96,22,106,0,0,0,4.202183506,33,2.97,26.73,21531.20598,254.4,Foundation,136.75,Efu_13_a,0.384615385,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.25,,district heating,DIH_01_r,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,104.7783794,EAm_02_a,0.384615385,,,,,,,district heating,DIH_01_r,0.5,,pellets central heating,PEL_01_r,0.337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,136.75,KDo_01_a,0.384615385,,,,,,,"gas central heating, standard boiler",GAS_01_r,0.25,,"pellets central heating, with solar thermal",PEL_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,341.96,AWm_01_a,0.27,,,,,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",89.26032518,IWm_02_a,,,,,,,,,,,,heat pump,HEP_01_r,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",148.6846748,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,136.75,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,130,DAI_01_a,0.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,42.48,Win_01_p,1.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-12,Doo_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,3-6-3-0-3-11-16-14-68-54-68-54,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,278-4617-1426-108,ELI_01_r,,,,,,,,,,,,,,
AT-MFH-2010-2022-11,AT,Residential,Multi-family house (MFH),2010,2022,Standard,Masonry,273.5,218.8,6.930931677,875.2,2,3,2,14826,0,0,0,0,0.769230769,0.153846154,0.076923077,66,0,0,0,17.05,22,89,0,0,0,2.760866869,33,2.97,26.73,21531.20598,254.4,Foundation,136.75,Efu_13_a,0.384615385,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.01,,district heating,DIH_01_r,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,104.7783794,EAm_02_a,0.384615385,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.86,,pellets central heating,PEL_01_r,0.337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,136.75,KDu_01_a,0.384615385,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.05,,"pellets central heating, with solar thermal",PEL_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,342,AWm_05_a,0.35,,,,,,,district heating,DIH_01_r,0.02,,"electric direct heating, with solar thermal",ELE_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",89.26032518,IWm_02_a,,,,,,,,pellets central heating,PEL_01_r,0.02,,heat pump,HEP_01_r,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",148.6846748,IWI_01_a,,,,,,,,heat pump,PEL_01_r,0.04,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,136.75,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,130,DAm_01_a,0.188679245,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,42.48,Win_01_p,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-12,Doo_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,3-6-3-0-3-11-16-14-68-54-68-54,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,278-4617-1426-108,ELI_01_r,,,,,,,,,,,,,,
AT-MFH-2010-2022-21,AT,Residential,Multi-family house (MFH),2010,2022,Standard,Concrete,273.5,218.8,6.930931677,875.2,2,3,2,2830,0,0,0,0,0.769230769,0.153846154,0.076923077,66,0,0,0,17.05,22,89,0,0,0,2.760866869,33,2.97,26.73,21531.20598,254.4,Foundation,136.75,Efu_13_a,0.384615385,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.01,,district heating,DIH_01_r,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,104.7783794,EAm_02_a,0.384615385,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.86,,pellets central heating,PEL_01_r,0.337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,136.75,KDu_01_a,0.384615385,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.05,,"pellets central heating, with solar thermal",PEL_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,342,AWm_01_a,0.35,,,,,,,district heating,DIH_01_r,0.02,,"electric direct heating, with solar thermal",ELE_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",89.26032518,IWm_02_a,,,,,,,,pellets central heating,PEL_01_r,0.02,,heat pump,HEP_01_r,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",148.6846748,IWI_01_a,,,,,,,,heat pump,HEP_01_r,0.04,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,136.75,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,130,DAm_01_a,0.188679245,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,42.48,Win_01_p,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-12,Doo_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,3-6-3-0-3-11-16-14-68-54-68-54,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,278-4617-1426-108,ELI_01_r,,,,,,,,,,,,,,
AT-MFH-2010-2022-31,AT,Residential,Multi-family house (MFH),2010,2022,Standard,Wood frame,273.5,218.8,6.930931677,875.2,2,3,2,822,0,0,0,0,0.769230769,0.153846154,0.076923077,66,0,0,0,17.05,22,89,0,0,0,2.760866869,33,2.97,26.73,21531.20598,254.4,Foundation,136.75,Efu_13_a,0.384615385,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.01,,district heating,DIH_01_r,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,104.7783794,EAm_02_a,0.384615385,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.86,,pellets central heating,PEL_01_r,0.337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,136.75,KDI_01_a,0.384615385,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.05,,"pellets central heating, with solar thermal",PEL_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,342,AWI_03_a,0.35,,,,,,,district heating,DIH_01_r,0.02,,"electric direct heating, with solar thermal",ELE_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",89.26032518,IWI_05_a,,,,,,,,pellets central heating,PEL_01_r,0.02,,heat pump,HEP_01_r,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",148.6846748,IWI_01_a,,,,,,,,heat pump,HEP_01_r,0.04,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,136.75,GDI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,130,DAI_07_a,0.188679245,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,42.48,Win_01_w,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-12,Doo_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,3-6-3-0-3-11-16-14-68-54-68-54,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,278-4617-1426-108,ELI_01_r,,,,,,,,,,,,,,
AT-MFH-2010-2022-12,AT,Residential,Multi-family house (MFH),2010,2022,Advanced,Masonry,273.5,218.8,6.930931677,875.2,2,3,2,10783,0,0,0,0,0.769230769,0.153846154,0.076923077,41,0,0,0,17.05,22,56,0,0,0,2.759908659,33,2.97,26.73,21531.20598,254.4,Foundation,136.75,Efu_13_a,0.21,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.01,,district heating,DIH_01_r,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,104.7783794,EAm_02_a,0.21,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.86,,pellets central heating,PEL_01_r,0.337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,136.75,KDu_01_a,0.21,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.05,,"pellets central heating, with solar thermal",PEL_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,342,AWm_05_a,0.16,,,,,,,district heating,DIH_01_r,0.02,,"electric direct heating, with solar thermal",ELE_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",89.26032518,IWm_02_a,,,,,,,,pellets central heating,PEL_01_r,0.02,,heat pump,HEP_01_r,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",148.6846748,IWI_01_a,,,,,,,,heat pump,HEP_01_r,0.04,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,136.75,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,130,DAm_01_a,0.17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,42.48,Win_02_p,1.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-12,Doo_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,3-6-3-0-3-11-16-14-68-54-68-54,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,278-4617-1426-108,ELI_01_r,,,,,,,,,,,,,,
AT-MFH-2010-2022-22,AT,Residential,Multi-family house (MFH),2010,2022,Advanced,Concrete,273.5,218.8,6.930931677,875.2,2,3,2,2058,0,0,0,0,0.769230769,0.153846154,0.076923077,41,0,0,0,17.05,22,56,0,0,0,2.759908659,33,2.97,26.73,21531.20598,254.4,Foundation,136.75,Efu_13_a,0.21,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.01,,district heating,DIH_01_r,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,104.7783794,EAm_02_a,0.21,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.86,,pellets central heating,PEL_01_r,0.337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,136.75,KDu_01_a,0.21,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.05,,"pellets central heating, with solar thermal",PEL_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,342,AWm_01_a,0.16,,,,,,,district heating,DIH_01_r,0.02,,"electric direct heating, with solar thermal",ELE_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",89.26032518,IWm_02_a,,,,,,,,pellets central heating,PEL_01_r,0.02,,heat pump,HEP_01_r,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",148.6846748,IWI_01_a,,,,,,,,heat pump,HEP_01_r,0.04,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,136.75,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,130,DAm_01_a,0.17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,42.48,Win_02_p,1.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-12,Doo_03_r,,,,,,,,,,,,,,
